audit_id,site,inspection_date,closed_date,compliance_score,finding_category,findings_detail,corrective_action,auditor,status,_source_file,_batch_id,incident_id,incident_date,incident_type,severity,description,root_cause,response_time_hours,decision,decision_reason
AUD-03492,SITE-005,2026-08-12T00:00:00Z,2026-07-07T00:00:00Z,80.1,Leak Detection,Company someone position size do indicate difficult few.,Mean if order simply long sister.,Samantha Cook,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-08494,SITE-006,2026-09-08T00:00:00Z,,68.1,Personnel Training,One cost stop almost she military choice culture somebody series.,Contain glass live player bit data.,Amy Silva,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-08894,SITE-003,2026-08-04T00:00:00Z,,88.5,Maintenance Backlog,Brother per take leg help soon song then all.,,Robin Holmes,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-02957,SITE-001,2026-08-17T00:00:00Z,2026-04-02T00:00:00Z,92.9,Documentation,Wind dark particular hold reflect member even machine require usually old.,Sure recent economic where act wide consumer discuss exactly laugh despite.,Stanley Daniels,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-05401,SITE-004,2026-07-27T00:00:00Z,2025-10-09T00:00:00Z,81.3,Safety Equipment,Religious month memory staff per wide Congress exactly forget girl purpose trip.,School require order place answer put.,Erica Farley,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-00760,SITE-004,2026-08-26T00:00:00Z,2024-07-27T00:00:00Z,71.3,Environmental Monitoring,Nature decade tonight wife open Republican strategy into a.,,Tammy Lopez,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-06653,SITE-001,2026-09-04T00:00:00Z,2026-04-15T00:00:00Z,70.2,Safety Equipment,Free between view customer with society beyond daughter nature mention question science benefit trouble population pick piece scene ahead.,,Natalie Wolfe,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-06435,SITE-002,2026-08-16T00:00:00Z,2025-11-03T00:00:00Z,78.6,Leak Detection,Compare then case book these yourself protect degree.,Pattern where record choice writer guess bring.,Peggy Mcclain,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-06331,SITE-001,2026-10-03T00:00:00Z,,75.5,Environmental Monitoring,Cover big factor huge than money argue everything rock expert product parent writer reduce draw room.,,Rebecca Sandoval,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-07095,SITE-002,2026-09-02T00:00:00Z,,87.0,Environmental Monitoring,Federal customer main truth executive minute end across would discover series sure glass growth house.,Treat find then window break check edge common thing language form now yeah.,Alec Stewart,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-08190,SITE-001,2026-08-16T00:00:00Z,2025-04-14T00:00:00Z,82.7,Personnel Training,Look trial charge human response second real.,Sign idea generation father.,Nicole Mendez,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-01777,SITE-001,2026-12-03T00:00:00Z,2026-04-07T00:00:00Z,71.9,Leak Detection,Mean medical such leader break by then letter.,Mrs prepare would exactly attention two carry.,Lori Johnson,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-03033,SITE-001,2026-08-18T00:00:00Z,,79.3,Personnel Training,Policy skin feeling defense card front property test economy measure event technology professional Congress her human say happy.,,Briana Jones,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-07876,SITE-003,2026-10-05T00:00:00Z,,-7.5,Maintenance Backlog,Detail bank road miss where car feeling opportunity nation dog.,Relationship itself mean compare laugh likely scene already.,Samantha Colon,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-06858,SITE-004,2026-08-02T00:00:00Z,2025-06-24T00:00:00Z,77.2,Leak Detection,Specific big interview player message throw society.,Child particularly take magazine run sing remember happy treat attention again development.,Nicholas Clark,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-08808,SITE-001,2026-09-03T00:00:00Z,2025-08-28T00:00:00Z,72.6,Leak Detection,Born at son training somebody impact through country.,Future success white can run painting choice trouble.,Jay Hall,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-09254,SITE-002,2026-09-14T00:00:00Z,2026-04-30T00:00:00Z,83.5,Leak Detection,So opportunity star own top whose generation response thus finish.,,Eric Rodriguez,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-04562,SITE-005,2026-10-01T00:00:00Z,2026-01-31T00:00:00Z,74.6,Documentation,Subject difference just wrong identify indeed few choose quickly.,,Andrew Howard,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-01112,SITE-002,2026-09-19T00:00:00Z,,69.6,Emergency Response,Executive parent add same international whole hair focus already them collection listen difficult receive.,Culture once general father paper democratic consumer provide yard simple shoulder player American.,Michael Watson,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-06246,SITE-004,2026-09-13T00:00:00Z,,89.6,Environmental Monitoring,Throw majority approach once yard throughout them you clear science model suddenly inside see experience marriage action rise deal position history low able.,,Jerome Stevens,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-00899,SITE-002,2026-09-04T00:00:00Z,,82.5,Containment Integrity,Civil support gun main risk risk rest practice mean week view expert be.,Phone sport according million wish price college might.,Rita Medina,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-08985,SITE-003,2026-08-20T00:00:00Z,2026-05-01T00:00:00Z,90.7,Maintenance Backlog,Ability war organization rise receive finish season their across thought.,Purpose various method huge.,Larry Pacheco,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-03070,SITE-006,2026-09-05T00:00:00Z,2026-07-08T00:00:00Z,64.0,Leak Detection,Soldier wife language success else rise nothing.,Pm foot word development parent firm practice have necessary class.,Debra Jackson,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-05447,SITE-006,2026-08-02T00:00:00Z,2026-01-01T00:00:00Z,57.5,Maintenance Backlog,Father benefit doctor magazine even plan herself difference should mouth certain population yourself eat describe expect identify seat.,Dark use rock explain bad in fund customer people break light.,Cynthia Meza,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-04130,SITE-001,2026-08-28T00:00:00Z,2024-08-27T00:00:00Z,94.5,Maintenance Backlog,Morning face admit cold organization might remember reflect staff store.,Trouble produce interview measure create remember investment voice local discover onto law down.,Jeffrey Lee,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-02956,SITE-006,2026-08-09T00:00:00Z,,44.1,Emergency Response,During forward guy over clear not remain lose sound turn their.,This trial over relationship seven partner director exactly order.,Joshua Stephens,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-08280,SITE-005,2026-08-17T00:00:00Z,2025-01-24T00:00:00Z,86.0,Documentation,Message real peace woman camera husband population tend clear name weight western information network report among economic employee human learn pretty region.,Education return doctor Congress measure mouth usually.,Dylan Bailey,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-07916,SITE-005,2026-08-31T00:00:00Z,2025-10-01T00:00:00Z,98.5,Environmental Monitoring,Information garden agent much collection.,,Hannah Frank,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-03519,SITE-004,2026-07-27T00:00:00Z,2024-08-05T00:00:00Z,94.8,Emergency Response,Deep tree knowledge entire them.,Send newspaper type natural toward whole western goal church chair thing impact job low.,Robin Johnson,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-07788,SITE-004,2026-07-26T00:00:00Z,2025-11-12T00:00:00Z,81.3,Emergency Response,Environmental fire model street hand drug people guess start hour rate down character.,Continue talk others manager note site might.,Kimberly Lee,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-02583,SITE-004,2026-07-29T00:00:00Z,2026-06-02T00:00:00Z,73.9,Environmental Monitoring,East help wind none main live central section under newspaper usually buy goal all.,Group marriage article talk mouth raise her enter miss list.,Michelle Riley,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-00381,SITE-004,2026-09-09T00:00:00Z,2024-09-29T00:00:00Z,92.6,Leak Detection,When near across line hear sea evening law as short when place court why key.,Upon reason during authority agreement under how capital indeed book upon size.,Jose Burns,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-02116,SITE-006,2026-08-16T00:00:00Z,2026-07-02T00:00:00Z,41.5,Leak Detection,Do much tell voice challenge also program check wind sound.,,Christina Moon,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-02645,SITE-004,2026-08-02T00:00:00Z,2024-12-12T00:00:00Z,80.2,Maintenance Backlog,Surface year although force firm system item system visit star sound fish fill out three.,Type individual worker off certain significant reflect certainly.,Frank Jackson,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-08407,SITE-003,2026-07-27T00:00:00Z,2026-07-29T00:00:00Z,49.4,Leak Detection,Project bed I test western last add agreement company.,,Cynthia Nelson,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-02223,SITE-005,2026-08-09T00:00:00Z,,91.7,Environmental Monitoring,Look investment long quickly one police eight commercial between she result size toward issue direction where recognize.,Board process new surface own eye realize national far science check main.,Evan Cabrera,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-09212,SITE-006,2026-07-30T00:00:00Z,2026-07-28T00:00:00Z,24.3,Leak Detection,Practice treat world find professional decision data save maybe four quality fish.,Matter deep if buy center concern ball apply risk note.,Christy Lamb,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-02509,SITE-001,2026-09-02T00:00:00Z,2024-04-25T00:00:00Z,79.4,Containment Integrity,Training ever throughout pressure yes later rock discuss capital final.,,Mark Hancock,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-07130,SITE-004,2026-08-19T00:00:00Z,,59.7,Personnel Training,Share finally hospital break ago trial include expert morning home ball step environmental type speak.,,Michael Thomas,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-00228,SITE-004,2026-08-14T00:00:00Z,2025-09-17T00:00:00Z,80.8,Emergency Response,Contain body receive major fire focus challenge site her summer bank worker.,,Brandon Reyes,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-03507,SITE-005,2026-08-18T00:00:00Z,2024-08-08T00:00:00Z,76.3,Maintenance Backlog,Want leader finally cultural raise someone collection list citizen past improve bar subject.,,Stephanie Brown,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-09112,SITE-001,2026-08-20T00:00:00Z,,93.5,Maintenance Backlog,Against reach black somebody nothing seem child tonight arrive room challenge degree wear feel.,Someone building spring upon test speak else project.,Amanda Williams,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-03289,SITE-006,2026-09-05T00:00:00Z,,52.1,Leak Detection,Method its position room factor sit total difficult stuff statement sometimes reality.,Forget central phone field teacher animal structure structure.,Bryan Jackson,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-01977,SITE-006,2026-08-15T00:00:00Z,,56.2,Leak Detection,Present able store place wind create we will want your property hard industry.,,Jordan Floyd,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-09094,SITE-004,2026-07-30T00:00:00Z,,69.5,Safety Equipment,Growth state fight include character great attack all mean hundred girl candidate interesting place six prepare.,,Shane Baker,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-06425,SITE-004,2026-07-26T00:00:00Z,2024-08-04T00:00:00Z,68.7,Personnel Training,Star left later idea every choice analysis film gas raise real present myself notice until unit.,Realize pull maybe full account once such.,Jesse Barnes,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-06925,SITE-002,2026-08-08T00:00:00Z,,90.2,Leak Detection,Ability wide natural state rise wrong resource price part cost east detail choice reach.,,Amanda Washington,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-04897,SITE-003,2026-08-30T00:00:00Z,,67.2,Documentation,Nor sometimes crime stuff pretty nor article late firm spend not listen PM along month protect enjoy less green need cover.,,Angela Jenkins,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-02391,SITE-004,2026-09-04T00:00:00Z,,76.3,Leak Detection,Participant Mr research right worker trial article station country south herself politics idea kitchen face if social quality.,Really large field activity recognize tell enjoy crime box.,Matthew Smith,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-00531,SITE-001,2026-11-01T00:00:00Z,2026-02-01T00:00:00Z,77.2,Personnel Training,Identify product have painting nor song future style beat stock bag.,Himself pick act when seat need last article reduce always.,Virginia Vasquez,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-04702,SITE-002,2026-09-07T00:00:00Z,2024-08-15T00:00:00Z,91.9,Documentation,Either away drug with apply take structure add eye scene image think north remain door stay.,Main perhaps action guy never hold analysis quality fear.,Danielle Oliver,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-06047,SITE-001,2026-09-04T00:00:00Z,2025-02-10T00:00:00Z,60.9,Documentation,Gas task bed least skin throughout include increase they whether save choose.,,Joe Fuentes,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-05598,SITE-005,2026-07-29T00:00:00Z,2026-01-09T00:00:00Z,87.0,Environmental Monitoring,Key require become develop say strategy can man page score become who marriage seven social system huge worry measure.,Figure feeling the happy put just happy town security.,Angela Edwards,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-07761,SITE-002,2026-08-02T00:00:00Z,2026-06-13T00:00:00Z,71.1,Emergency Response,Process father most guy idea name store letter staff stay drop she sit fine report house pattern clear foot.,Last ready off his people will movement.,Amy Castillo,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-06517,SITE-006,2026-08-05T00:00:00Z,,64.9,Documentation,Member follow house physical production lawyer fear large stop maintain.,Meeting into focus this size could.,Caleb Cook,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-01640,SITE-005,2026-09-04T00:00:00Z,,79.7,Documentation,History bank compare break woman evening again put.,Single military state give seek local else easy ground.,Richard Allen,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-00921,SITE-002,2026-08-24T00:00:00Z,2024-06-15T00:00:00Z,88.1,Personnel Training,Learn difference picture heavy east man raise age decide nor though push.,Certainly quality mission base answer church watch.,Rhonda James,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-03305,SITE-004,2026-09-02T00:00:00Z,,79.2,Maintenance Backlog,Ahead upon hair thought many idea between right special again should pull either.,Company thousand deep open phone others travel even.,Savannah Koch,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-09017,SITE-006,2026-08-03T00:00:00Z,,57.3,Leak Detection,Professor painting here must unit how current enter open herself other poor business improve paper of feel card break life short.,Line weight this.,Cheyenne Myers,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-01318,SITE-006,2026-08-03T00:00:00Z,,54.5,Containment Integrity,Scientist but citizen western near Democrat town what message entire off sense recognize campaign big two yet evidence once.,,Courtney Collins,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-04622,SITE-004,2026-08-16T00:00:00Z,2026-03-18T00:00:00Z,72.0,Containment Integrity,Federal perhaps color him day bar hair end sort field physical yeah learn ground hospital occur almost street several investment candidate.,Range choose share American seem.,Tina Kirby,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-00198,SITE-003,2026-09-16T00:00:00Z,,62.0,Maintenance Backlog,Upon room knowledge care pressure low ten Mrs.,Door point Mr child result best again half me.,Richard Reid,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-06704,SITE-001,2026-08-03T00:00:00Z,2026-04-03T00:00:00Z,85.4,Documentation,Speech month shake people ready theory use right computer second strategy hospital out.,Begin those recognize exactly.,Sarah Lloyd,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-01482,SITE-002,2026-08-01T00:00:00Z,,85.2,Emergency Response,Course show condition fly class culture sometimes common might grow history himself speak next figure.,Blood suffer home seat wonder sit whether sea.,Destiny Merritt,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-06815,SITE-004,2026-08-17T00:00:00Z,2024-06-24T00:00:00Z,79.0,Containment Integrity,Accept shake maybe to against know peace hit few man yet yes memory.,Military debate reason win black must fight but contain every top at other.,Jeremy Roman,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-00426,SITE-005,2026-12-02T00:00:00Z,,90.3,Environmental Monitoring,Late rest owner investment bring indicate accept leave court against tell vote especially safe often.,Western Republican our experience economy behind almost goal.,Bethany Bates,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-03135,SITE-001,2026-08-22T00:00:00Z,2024-12-12T00:00:00Z,96.6,Personnel Training,Maintain situation must force very maintain feeling past generation cost pay resource.,Often majority charge note hand believe not mouth thus reality customer.,Danielle Hayes,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-06860,SITE-001,2026-07-31T00:00:00Z,2026-01-07T00:00:00Z,78.1,Leak Detection,Onto tonight start particularly night billion leg message never agency capital movement get house size view many safe behavior visit discuss modern more various budget remember.,,Juan James,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-08638,SITE-005,2026-08-06T00:00:00Z,2026-01-16T00:00:00Z,100.0,Leak Detection,Tv since meet factor because health off drop.,Probably agreement green fill brother general interest support during color.,Dean Stein,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-05723,SITE-006,2026-09-10T00:00:00Z,,83.3,Leak Detection,Significant page drop art shoulder per car likely own several music fish church.,Alone forget manage evidence federal recognize somebody brother.,Nicholas Smith,In Progress,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-06836,SITE-002,2026-08-03T00:00:00Z,,94.0,Safety Equipment,Now on become us Democrat gun physical small deal then medical husband discover detail improve but assume stuff.,Item other commercial series major.,Christopher Brown,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-07190,SITE-004,2026-09-12T00:00:00Z,,71.2,Emergency Response,Indeed movie wall place likely policy more put center apply listen among respond become somebody laugh parent claim value.,His live control serious gun front get south.,Aaron Jones,Open,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-05857,SITE-003,2026-07-31T00:00:00Z,2025-01-31T00:00:00Z,27.5,Maintenance Backlog,Level soon nice wife meeting action cultural.,Stuff people several music affect employee law only.,Deanna Martinez,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
AUD-05119,SITE-001,2026-08-07T00:00:00Z,2024-09-12T00:00:00Z,83.8,Documentation,Significant main score central success sound between space season later police goal provide page land similar factor bed pull take pressure history want leave.,,Lindsey Rios,Closed,audits_raw.csv,5cfe1332-06d7-47fa-a0d2-91aaaf5da2e2,,,,,,,,rejected,hard rule failure: no_future_incidents
